日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-07-09,'600138,中青旅,13.0,13.13,12.91,12.96,12.94,0.06,0.4637,1.4082,10192850,132843195.0,9409920000.0,9409920000.0
2019-07-08,'600138,中青旅,12.94,13.35,12.91,13.35,13.34,-0.4,-2.9985,1.6156,11694689,152604055.0,9366489600.0,9366489600.0
2019-07-05,'600138,中青旅,13.34,13.58,13.29,13.33,13.35,-0.01,-0.0749,1.8341,13276208,177730592.0,9656025600.0,9656025600.0
2019-07-04,'600138,中青旅,13.35,13.57,13.33,13.46,13.48,-0.13,-0.9644,1.2727,9212387,123571627.0,9663264000.0,9663264000.0
2019-07-03,'600138,中青旅,13.48,13.74,13.23,13.3,13.39,0.09,0.6721,2.7477,19888799,268997021.0,9757363200.0,9757363200.0
2019-07-02,'600138,中青旅,13.39,13.44,13.0,13.13,13.14,0.25,1.9026,2.6568,19230985,254841655.0,9692217600.0,9692217600.0
2019-07-01,'600138,中青旅,13.14,13.14,12.83,12.91,12.69,0.45,3.5461,2.146,15533660,201786733.0,9511257600.0,9511257600.0
2019-06-28,'600138,中青旅,12.69,12.95,12.66,12.93,12.93,-0.24,-1.8561,1.0514,7610259,96931419.0,9185529600.0,9185529600.0
2019-06-27,'600138,中青旅,12.93,12.99,12.85,12.89,12.86,0.07,0.5443,0.8472,6132508,79251031.0,9359251200.0,9359251200.0
2019-06-26,'600138,中青旅,12.86,12.94,12.8,12.85,12.93,-0.07,-0.5414,0.9079,6571612,84575628.0,9308582400.0,9308582400.0
2019-06-25,'600138,中青旅,12.93,13.15,12.84,13.15,13.08,-0.15,-1.1468,1.0814,7827909,101558064.0,9359251200.0,9359251200.0
2019-06-24,'600138,中青旅,13.08,13.16,13.02,13.1,13.09,-0.01,-0.0764,0.9785,7082430,92597219.0,9467827200.0,9467827200.0
2019-06-21,'600138,中青旅,13.09,13.18,13.0,13.03,12.98,0.11,0.8475,1.4244,10310486,134969275.0,9475065600.0,9475065600.0
2019-06-20,'600138,中青旅,12.98,13.15,12.79,12.88,12.88,0.1,0.7764,2.018,14607239,189261564.0,9395443200.0,9395443200.0
2019-06-19,'600138,中青旅,12.88,13.0,12.83,12.95,12.73,0.15,1.1783,0.9884,7154218,92346728.0,9323059200.0,9323059200.0
2019-06-18,'600138,中青旅,12.73,12.77,12.62,12.69,12.72,0.01,0.0786,0.5003,3621578,45987539.0,9214483200.0,9214483200.0
2019-06-17,'600138,中青旅,12.72,12.75,12.48,12.56,12.56,0.16,1.2739,0.5553,4019377,50753466.0,9207244800.0,9207244800.0
2019-06-14,'600138,XD中青旅,12.56,12.79,12.54,12.77,12.73,-0.17,-1.3354,0.5837,4225215,53440674.0,9091430400.0,9091430400.0
2019-06-13,'600138,中青旅,12.87,12.9,12.77,12.85,12.88,-0.01,-0.0776,0.6523,4721740,60685358.0,9315820800.0,9315820800.0
2019-06-12,'600138,中青旅,12.88,12.96,12.75,12.96,12.93,-0.05,-0.3867,0.8602,6226227,80046127.0,9323059200.0,9323059200.0
2019-06-11,'600138,中青旅,12.93,12.96,12.6,12.64,12.61,0.32,2.5377,1.1115,8045227,103165943.0,9359251200.0,9359251200.0
2019-06-10,'600138,中青旅,12.61,12.68,12.48,12.5,12.48,0.13,1.0417,0.801,5798222,72999926.0,9127622400.0,9127622400.0
2019-06-06,'600138,中青旅,12.48,12.64,12.45,12.63,12.59,-0.11,-0.8737,0.6904,4997660,62625001.0,9033523200.0,9033523200.0
2019-06-05,'600138,中青旅,12.59,12.67,12.54,12.62,12.54,0.05,0.3987,0.6935,5019693,63284574.0,9113145600.0,9113145600.0
2019-06-04,'600138,中青旅,12.54,12.71,12.52,12.65,12.67,-0.13,-1.026,0.5902,4272038,53706607.0,9076953600.0,9076953600.0
2019-06-03,'600138,中青旅,12.67,12.74,12.55,12.64,12.63,0.04,0.3167,0.8145,5895871,74605611.0,9171052800.0,9171052800.0
2019-05-31,'600138,中青旅,12.63,12.75,12.6,12.66,12.66,-0.03,-0.237,0.8341,6037277,76452123.0,9142099200.0,9142099200.0
2019-05-30,'600138,中青旅,12.66,12.73,12.52,12.72,12.75,-0.09,-0.7059,0.9724,7038898,88720104.0,9163814400.0,9163814400.0
2019-05-29,'600138,中青旅,12.75,12.87,12.73,12.79,12.85,-0.1,-0.7782,1.0277,7439151,95189525.0,9228960000.0,9228960000.0
2019-05-28,'600138,中青旅,12.85,13.01,12.78,12.95,12.97,-0.12,-0.9252,1.0012,7247070,93633826.0,9301344000.0,9301344000.0
2019-05-27,'600138,中青旅,12.97,12.98,12.71,12.8,12.74,0.23,1.8053,1.106,8005380,102868331.0,9388204800.0,9388204800.0
2019-05-24,'600138,中青旅,12.74,12.83,12.72,12.75,12.78,-0.04,-0.313,0.738,5341614,68176460.0,9221721600.0,9221721600.0
2019-05-23,'600138,中青旅,12.78,12.95,12.75,12.92,12.98,-0.2,-1.5408,0.9683,7009057,89739821.0,9250675200.0,9250675200.0
2019-05-22,'600138,中青旅,12.98,13.1,12.92,13.1,13.07,-0.09,-0.6886,0.8723,6314307,81894295.0,9395443200.0,9395443200.0
2019-05-21,'600138,中青旅,13.07,13.2,12.96,12.98,12.98,0.09,0.6934,1.0433,7551535,98941979.0,9460588800.0,9460588800.0
2019-05-20,'600138,中青旅,12.98,13.09,12.72,13.09,13.03,-0.05,-0.3837,0.9675,7002994,90381118.0,9395443200.0,9395443200.0
2019-05-17,'600138,中青旅,13.03,13.56,13.0,13.55,13.53,-0.5,-3.6955,1.2462,9020553,119249789.0,9431635200.0,9431635200.0
2019-05-16,'600138,中青旅,13.53,13.57,13.43,13.46,13.52,0.01,0.074,0.8502,6154185,83100077.0,9793555200.0,9793555200.0
2019-05-15,'600138,中青旅,13.52,13.62,13.31,13.44,13.3,0.22,1.6541,1.167,8447076,113893440.0,9786316800.0,9786316800.0
2019-05-14,'600138,中青旅,13.3,13.55,13.1,13.18,13.35,-0.05,-0.3745,1.0705,7748757,103690825.0,9627072000.0,9627072000.0
2019-05-13,'600138,中青旅,13.35,13.52,13.08,13.15,13.28,0.07,0.5271,1.521,11009565,147529140.0,9663264000.0,9663264000.0
2019-05-10,'600138,中青旅,13.28,13.38,12.93,13.1,13.0,0.28,2.1538,1.7334,12546855,165781514.0,9612595200.0,9612595200.0
2019-05-09,'600138,中青旅,13.0,13.14,12.95,13.02,13.18,-0.18,-1.3657,1.1714,8479246,110488900.0,9409920000.0,9409920000.0
2019-05-08,'600138,中青旅,13.18,13.25,12.84,12.98,13.2,-0.02,-0.1515,1.4804,10715503,140061870.0,9540211200.0,9540211200.0
2019-05-07,'600138,中青旅,13.2,13.37,12.98,13.17,13.07,0.13,0.9946,2.2058,15966559,210322448.0,9554688000.0,9554688000.0
2019-05-06,'600138,中青旅,13.07,13.87,12.98,13.8,14.3,-1.23,-8.6014,3.1356,22697000,305032827.0,9460588800.0,9460588800.0
2019-04-30,'600138,中青旅,14.3,14.43,14.05,14.25,14.15,0.15,1.0601,1.6553,11981496,170790643.0,10350912000.0,10350912000.0
2019-04-29,'600138,中青旅,14.15,14.95,13.88,14.95,14.82,-0.67,-4.5209,2.9803,21572362,309826066.0,10242336000.0,10242336000.0
2019-04-26,'600138,中青旅,14.82,15.14,14.69,15.1,15.31,-0.49,-3.2005,3.678,26623031,395662638.0,10727308800.0,10727308800.0
2019-04-25,'600138,中青旅,15.31,16.3,15.15,16.3,16.43,-1.12,-6.8168,4.8821,35338424,555580064.0,11081990400.0,11081990400.0
2019-04-24,'600138,中青旅,16.43,16.48,15.91,16.1,16.07,0.36,2.2402,3.9106,28306209,461003638.0,11892691200.0,11892691200.0
2019-04-23,'600138,中青旅,16.07,17.3,16.0,17.06,17.1,-1.03,-6.0234,5.223,37806478,627246505.0,11632108800.0,11632108800.0
2019-04-22,'600138,中青旅,17.1,17.32,16.73,17.01,17.15,-0.05,-0.2915,3.8986,28219397,479984083.0,12377664000.0,12377664000.0
2019-04-19,'600138,中青旅,17.15,17.15,16.33,16.33,16.37,0.78,4.7648,4.3057,31166121,524733937.0,12413856000.0,12413856000.0
2019-04-18,'600138,中青旅,16.37,16.41,16.23,16.39,16.4,-0.03,-0.1829,1.5565,11266540,183882093.0,11849260800.0,11849260800.0
2019-04-17,'600138,中青旅,16.4,16.55,16.22,16.38,16.41,-0.01,-0.0609,1.77,12811978,209820831.0,11870976000.0,11870976000.0
2019-04-16,'600138,中青旅,16.41,16.43,16.0,16.15,16.13,0.28,1.7359,1.7263,12495706,202840208.0,11878214400.0,11878214400.0
2019-04-15,'600138,中青旅,16.13,16.64,16.1,16.1,15.94,0.19,1.192,2.6256,19004985,310247463.0,11675539200.0,11675539200.0
2019-04-12,'600138,中青旅,15.94,16.27,15.81,16.09,16.16,-0.22,-1.3614,1.897,13731088,219724846.0,11538009600.0,11538009600.0
2019-04-11,'600138,中青旅,16.16,16.77,16.11,16.71,16.72,-0.56,-3.3493,2.2989,16640154,272816776.0,11697254400.0,11697254400.0
2019-04-10,'600138,中青旅,16.72,16.8,16.56,16.78,16.79,-0.07,-0.4169,1.9889,14396654,239830638.0,12102604800.0,12102604800.0
2019-04-09,'600138,中青旅,16.79,16.94,16.63,16.63,16.72,0.07,0.4187,2.0395,14763069,247548405.0,12153273600.0,12153273600.0
2019-04-08,'600138,中青旅,16.72,17.44,16.58,17.44,17.24,-0.52,-3.0162,3.1005,22442883,380071545.0,12102604800.0,12102604800.0
2019-04-04,'600138,中青旅,17.24,17.33,17.06,17.26,17.19,0.05,0.2909,2.5919,18761169,322550189.0,12479001600.0,12479001600.0
2019-04-03,'600138,中青旅,17.19,17.22,16.81,16.85,17.04,0.15,0.8803,2.1743,15738157,268944018.0,12442809600.0,12442809600.0
2019-04-02,'600138,中青旅,17.04,17.47,16.85,17.33,17.06,-0.02,-0.1172,2.8193,20407541,348737914.0,12334233600.0,12334233600.0
2019-04-01,'600138,中青旅,17.06,17.33,16.78,16.78,16.82,0.24,1.4269,3.7168,26904017,461070671.0,12348710400.0,12348710400.0
2019-03-29,'600138,中青旅,16.82,16.82,16.25,16.25,16.28,0.54,3.317,2.7299,19759819,328580478.0,12174988800.0,12174988800.0
2019-03-28,'600138,中青旅,16.28,16.6,15.93,16.05,16.17,0.11,0.6803,1.8805,13611633,222347806.0,11784115200.0,11784115200.0
2019-03-27,'600138,中青旅,16.17,16.3,15.8,16.17,16.01,0.16,0.9994,1.7294,12517849,200716750.0,11704492800.0,11704492800.0
2019-03-26,'600138,中青旅,16.01,16.78,16.0,16.65,16.62,-0.61,-3.6703,2.3355,16905515,274976722.0,11588678400.0,11588678400.0
2019-03-25,'600138,中青旅,16.62,17.06,16.51,16.8,17.18,-0.56,-3.2596,3.3005,23890596,401327739.0,12030220800.0,12030220800.0
