公司代码 	公司简称 	代码	简称	上市日期	总股本	流通股本	
600000	  浦发银行	  600000	  浦发银行	  1999-11-10	  2935208.04	  2810376.39	  
600004	  白云机场	  600004	  白云机场	  2003-04-28	  206932.05	  206932.05	  
600006	  东风汽车	  600006	  东风汽车	  1999-07-27	  200000.00	  200000.00	  
600007	  中国国贸	  600007	  中国国贸	  1999-03-12	  100728.25	  100728.25	  
600008	  首创股份	  600008	  首创股份	  2000-04-27	  568544.82	  482061.41	  
600009	  上海机场	  600009	  上海机场	  1998-02-18	  192695.84	  109347.64	  
600010	  包钢股份	  600010	  包钢股份	  2001-03-09	  4558503.26	  3167721.16	  
600011	  华能国际	  600011	  华能国际	  2001-12-06	  1569809.34	  1520038.34	  
600012	  皖通高速	  600012	  皖通高速	  2003-01-07	  165861.00	  165861.00	  
600015	  华夏银行	  600015	  华夏银行	  2003-09-12	  1538722.40	  1282268.67	  
600016	  民生银行	  600016	  民生银行	  2000-12-19	  4378241.85	  4378241.85	  
600017	  日照港	  600017	  日照港	  2006-10-17	  307565.39	  307565.39	  
600018	  上港集团	  600018	  上港集团	  2006-10-26	  2317367.47	  2317367.47	  
600019	  宝钢股份	  600019	  宝钢股份	  2000-12-12	  2227613.41	  2210108.69	  
600020	  中原高速	  600020	  中原高速	  2003-08-08	  224737.18	  224737.18	  
600021	  上海电力	  600021	  上海电力	  2003-10-29	  261716.42	  213973.93	  
600022	  山东钢铁	  600022	  山东钢铁	  2004-06-29	  1094654.96	  1094654.96	  
600023	  浙能电力	  600023	  浙能电力	  2013-12-19	  1360069.00	  1360069.00	  
600025	  华能水电	  600025	  华能水电	  2017-12-15	  1800000.00	  892800.00	  
600026	  中远海能	  600026	  中远海能	  2002-05-23	  403203.29	  403203.29	  
600027	  华电国际	  600027	  华电国际	  2005-02-03	  986297.67	  871297.67	  
600028	  中国石化	  600028	  中国石化	  2001-08-08	  12107120.96	  12107120.96	  
600029	  南方航空	  600029	  南方航空	  2003-07-25	  1226717.23	  1068909.92	  
600030	  中信证券	  600030	  中信证券	  2003-01-06	  1211690.84	  1209298.94	  
600031	  三一重工	  600031	  三一重工	  2003-07-03	  837509.25	  833789.65	  
600033	  福建高速	  600033	  福建高速	  2001-02-09	  274440.00	  274440.00	  
600035	  楚天高速	  600035	  楚天高速	  2004-03-10	  172808.68	  152670.32	  
600036	  招商银行	  600036	  招商银行	  2002-04-09	  2521984.56	  2521984.56	  
600037	  歌华有线	  600037	  歌华有线	  2001-02-08	  139177.79	  139177.79	  
600038	  中直股份	  600038	  中直股份	  2000-12-18	  58947.67	  58947.67	  
600039	  四川路桥	  600039	  四川路桥	  2003-03-25	  361052.55	  345707.28	  
600048	  保利地产	  600048	  保利地产	  2006-07-31	  1189502.91	  1189502.91	  
600050	  中国联通	  600050	  中国联通	  2002-10-09	  3104096.77	  2119659.64	  
600051	  宁波联合	  600051	  宁波联合	  1997-04-10	  31088.00	  31088.00	  
600052	  浙江广厦	  600052	  浙江广厦	  1997-04-18	  87178.91	  87178.91	  
600053	  九鼎投资	  600053	  九鼎投资	  1997-04-18	  43354.08	  43354.08	  
600054	  黄山旅游	  600054	  黄山旅游	  1997-05-06	  72937.94	  72937.94	  
600055	  万东医疗	  600055	  万东医疗	  1997-05-19	  54081.62	  54081.62	  
600056	  中国医药	  600056	  中国医药	  1997-05-15	  106848.55	  101213.61	  
600057	  厦门象屿	  600057	  厦门象屿	  1997-06-04	  215745.41	  215745.41	  
